Timestamp,System_Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Command
17043.344336208,1689476979,1317076.0,-1310405.0,1084649.0,397234.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.359725416,1689476979,1319018.0,-1310086.0,1085658.0,398001.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.360157208,1689476979,1283419.0,-1308250.0,1072614.0,392858.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.371831333,1689476979,1300755.0,-1308005.0,1081224.0,396937.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.386760833,1689476979,1319440.0,-1309908.0,1086702.0,398596.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.387063791,1689476979,1303251.0,-1310062.0,1077848.0,394298.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.393913833,1689476979,1283700.0,-1307989.0,1071856.0,392546.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.394368833,1689476979,1296459.0,-1306836.0,1079896.0,396736.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.406399541,1689476979,1319007.0,-1308137.0,1087579.0,399715.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.4137845,1689476979,1308663.0,-1308704.0,1080766.0,396126.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.414307875,1689476979,1286046.0,-1307262.0,1072963.0,393189.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.420358708,1689476979,1292314.0,-1306362.0,1078494.0,396041.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.420733833,1689476979,1316484.0,-1307796.0,1087272.0,399605.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.426394333,1689476979,1312071.0,-1309048.0,1082143.0,396654.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.426763791,1689476979,1287971.0,-1307836.0,1072880.0,393011.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.432553125,1689476979,1288205.0,-1306361.0,1076319.0,395438.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.432957041,1689476979,1312920.0,-1307972.0,1086227.0,399321.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.438902458,1689476979,1315349.0,-1309842.0,1083822.0,397229.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.439274166,1689476979,1291274.0,-1308771.0,1073937.0,393063.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.444836666,1689476979,1319473.0,-1308909.0,1087718.0,400003.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.445338333,1689476979,1308298.0,-1308270.0,1084829.0,398743.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.452911416,1689476979,1317531.0,-1309792.0,1085723.0,398476.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.453434125,1689476979,1295327.0,-1308666.0,1075784.0,394499.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.458845333,1689476979,1283176.0,-1307172.0,1072938.0,393758.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.465146041,1689476979,1304729.0,-1306766.0,1083924.0,399127.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.466000916,1689476979,1319718.0,-1308364.0,1087496.0,400050.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.480060083,1689476979,1289865.0,-1307116.0,1077335.0,395796.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.480447666,1689476979,1291822.0,-1308457.0,1074670.0,393936.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.486333291,1689476979,1294522.0,-1307043.0,1079389.0,396707.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.486728416,1689476979,1317184.0,-1308837.0,1087047.0,399509.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.492359625,1689476979,1308028.0,-1309986.0,1080399.0,395773.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.492922083,1689476979,1315179.0,-1307994.0,1087202.0,400052.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.499711666,1689476979,1312203.0,-1307468.0,1086894.0,400230.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.499896833,1689476979,1288678.0,-1307450.0,1073919.0,394095.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
